Freq[Hz]     dBSPL  Phase[Deg]
570.175     85.458    11.069
578.469     85.262    11.400
586.883     84.992    12.232
595.419     84.768    13.638
604.080     84.774    15.338
612.866     85.031    16.705
621.780     85.298    17.500
630.824     85.478    17.867
640.000     85.545    17.955
649.309     85.608    17.902
658.753     85.810    17.610
668.335     86.082    16.865
678.056     86.254    15.731
687.919     86.216    14.481
697.925     85.963    13.516
708.077     85.619    13.206
718.376     85.348    13.664
728.825     85.193    14.777
739.426     85.120    16.364
750.181     85.109    18.173
761.093     85.221    19.895
772.163     85.570    21.104
783.394     86.069    21.383
794.789     86.484    20.765
806.349     86.729    19.520
818.078     86.766    17.975
829.977     86.656    16.580
842.050     86.507    15.677
854.298     86.318    15.413
866.724     86.131    15.794
879.330     86.043    16.564
892.120     86.111    17.392
905.097     86.312    17.987
918.262     86.505    18.212
931.618     86.614    18.154
945.169     86.671    17.965
958.917     86.728    17.794
972.864     86.805    17.722
987.015     86.920    17.634
1001.37     87.063    17.334
1015.94     87.245    16.714
1030.71     87.439    15.746
1045.71     87.551    14.522
1060.92     87.542    13.219
1076.35     87.420    12.041
1092.00     87.226    11.243
1107.89     87.031    10.971
1124.00     86.870    11.167
1140.35     86.785    11.648
1156.94     86.810    12.147
1173.77     86.904    12.464
1190.84     87.018    12.512
1208.16     87.093    12.299
1225.73     87.104    11.978
1243.56     87.077    11.716
1261.65     87.049    11.559
1280.00     87.051    11.456
1298.62     87.082    11.337
1317.51     87.108    11.199
1336.67     87.107    11.077
1356.11     87.063    11.045
1375.84     87.009    11.199
1395.85     87.001    11.520
1416.15     87.069    11.850
1436.75     87.211    11.982
1457.65     87.392    11.763
1478.85     87.552    11.182
1500.36     87.650    10.337
1522.19     87.659     9.398
1544.33     87.600     8.556
1566.79     87.508     7.937
1589.58     87.419     7.567
1612.70     87.369     7.362
1636.16     87.369     7.174
1659.95     87.407     6.868
1684.10     87.451     6.364
1708.60     87.454     5.693
1733.45     87.407     4.945
1758.66     87.292     4.262
1784.24     87.121     3.815
1810.19     86.929     3.704
1836.52     86.728     3.981
1863.24     86.572     4.627
1890.34     86.492     5.480
1917.83     86.498     6.335
1945.73     86.589     6.979
1974.03     86.714     7.275
2002.74     86.811     7.260
2031.87     86.862     7.041
2061.43     86.846     6.769
2091.41     86.787     6.608
2121.83     86.745     6.581
2152.69     86.721     6.634
2184.01     86.733     6.694
2215.77     86.772     6.648
2248.00     86.789     6.488
2280.70     86.774     6.292
2313.87     86.714     6.148
2347.53     86.638     6.122
2381.68     86.580     6.207
2416.32     86.544     6.383
2451.46     86.523     6.629
2487.12     86.491     6.926
2523.30     86.455     7.283
2560.00     86.463     7.636
2597.24     86.528     7.873
2635.01     86.621     7.924
2673.34     86.680     7.815
2712.23     86.669     7.664
2751.68     86.620     7.588
2791.70     86.567     7.667
2832.31     86.569     7.868
2873.50     86.619     8.052
2915.30     86.702     8.088
2957.70     86.794     7.911
3000.72     86.865     7.548
3044.37     86.911     7.060
3088.65     86.932     6.462
3133.58     86.955     5.737
3179.16     86.991     4.826
3225.40     87.025     3.678
