Freq[Hz]     dBSPL  Phase[Deg]
750.181     86.734     7.934
761.093     86.807     9.059
772.163     87.033     9.854
783.394     87.260    10.129
794.789     87.406     9.997
806.349     87.476     9.662
818.078     87.505     9.308
829.977     87.515     9.094
842.050     87.520     9.085
854.298     87.547     9.201
866.724     87.614     9.297
879.330     87.765     9.213
892.120     87.970     8.792
905.097     88.130     8.028
918.262     88.196     7.055
931.618     88.167     6.042
945.169     88.080     5.176
958.917     87.974     4.591
972.864     87.872     4.310
987.015     87.779     4.284
1001.37     87.717     4.435
1015.94     87.709     4.651
1030.71     87.752     4.816
1045.71     87.827     4.820
1060.92     87.902     4.619
1076.35     87.953     4.263
1092.00     87.973     3.835
1107.89     87.955     3.423
1124.00     87.928     3.062
1140.35     87.917     2.720
1156.94     87.927     2.349
1173.77     87.935     1.929
1190.84     87.908     1.491
1208.16     87.835     1.119
1225.73     87.716     0.954
1243.56     87.602     1.078
1261.65     87.538     1.401
1280.00     87.557     1.727
1298.62     87.681     1.796
1317.51     87.837     1.429
1336.67     87.943     0.663
1356.11     87.941    -0.327
1375.84     87.809    -1.269
1395.85     87.582    -1.876
1416.15     87.338    -2.003
1436.75     87.138    -1.676
1457.65     87.013    -1.039
1478.85     86.962    -0.282
1500.36     86.953     0.444
1522.19     86.962     1.072
1544.33     86.995     1.565
1566.79     87.056     1.883
1589.58     87.132     2.001
1612.70     87.192     1.947
1636.16     87.204     1.817
1659.95     87.164     1.738
1684.10     87.095     1.811
1708.60     87.048     2.052
1733.45     87.053     2.370
1758.66     87.104     2.645
1784.24     87.176     2.784
1810.19     87.238     2.759
1836.52     87.275     2.611
1863.24     87.294     2.396
1890.34     87.306     2.148
1917.83     87.306     1.894
1945.73     87.281     1.681
1974.03     87.248     1.526
2002.74     87.211     1.414
2031.87     87.174     1.360
2061.43     87.161     1.331
2091.41     87.144     1.279
2121.83     87.111     1.236
2152.69     87.077     1.213
2184.01     87.022     1.243
2215.77     86.964     1.372
2248.00     86.918     1.579
2280.70     86.881     1.840
2313.87     86.864     2.136
2347.53     86.859     2.436
2381.68     86.850     2.749
2416.32     86.837     3.100
2451.46     86.845     3.459
2487.12     86.885     3.761
2523.30     86.963     3.933
2560.00     87.048     3.927
2597.24     87.095     3.793
2635.01     87.102     3.613
2673.34     87.072     3.477
2712.23     87.039     3.451
2751.68     87.034     3.502
2791.70     87.045     3.568
2832.31     87.075     3.594
2873.50     87.098     3.546
2915.30     87.113     3.450
2957.70     87.115     3.343
3000.72     87.099     3.269
3044.37     87.086     3.243
3088.65     87.090     3.219
3133.58     87.128     3.120
3179.16     87.186     2.863
3225.40     87.240     2.409
3272.31     87.260     1.778
3319.91     87.218     1.066
3368.20     87.118     0.400
3417.19     86.976    -0.129
3466.89     86.812    -0.462
3517.32     86.641    -0.573
3568.48     86.470    -0.466
3620.39     86.291    -0.139
3673.05     86.114     0.414
3726.47     85.949     1.191
3780.67     85.813     2.171
3835.67     85.720     3.285
3891.46     85.671     4.440
3948.06     85.662     5.560
4005.49     85.675     6.601
4063.75     85.696     7.569
4122.86     85.713     8.490
4182.82     85.733     9.397
4243.66     85.775    10.284
4305.39     85.841    11.119
4368.01     85.917    11.887
4431.55     86.001    12.577
4496.01     86.074    13.204
4561.40     86.144    13.808
4627.75     86.228    14.387
4695.06     86.323    14.922
4763.35     86.431    15.403
4832.64     86.538    15.825
4902.93     86.638    16.215
4974.24     86.739    16.587
5046.60     86.853    16.932
5120.00     86.995    17.211
5194.47     87.165    17.352
5270.03     87.350    17.295
5346.68     87.531    17.012
5424.45     87.706    16.486
5503.35     87.859    15.726
5583.40     87.987    14.768
5664.61     88.068    13.669
5747.01     88.086    12.513
5830.60     88.053    11.371
5915.41     87.979    10.289
6001.45     87.868     9.341
